time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443750000	4.51907	0.571376	5.34699	-0.0439662	-0.151963	radar	1.31085	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.70655	0.688369	5.16402	0.0728135	0.132587	lidar	10.0281	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.95847	0.686716	5.07635	0.0605398	0.0904528	radar	1.525	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26236	0.676952	5.16168	0.0399332	0.0368359	lidar	3.58733	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52332	0.683003	5.25413	0.040098	0.0378638	radar	1.68299	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82282	0.694386	5.31422	0.0403271	0.0342123	lidar	2.11238	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06575	0.612878	5.18116	-0.0324571	-0.122543	radar	3.7168	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32053	0.735505	5.16712	0.0636852	0.0815624	lidar	3.29173	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57023	0.771262	5.11877	0.0820543	0.108755	radar	0.281447	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.81893	0.763109	5.11048	0.0653957	0.0653688	lidar	0.240144	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.06088	0.741932	4.97114	0.038775	0.00221978	radar	2.38761	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.27666	0.835621	4.92345	0.103661	0.129087	lidar	2.16854	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.57484	0.845309	5.15439	0.0942513	0.0976895	radar	5.29629	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.82956	0.810153	5.14769	0.0543206	0.0104708	lidar	0.637097	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.07802	0.825633	5.0341	0.054163	0.00435502	radar	2.24193	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.31525	0.841524	5.01372	0.0569318	0.00943213	lidar	0.239326	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.58577	0.956878	5.21288	0.134988	0.165574	radar	6.49257	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82545	1.01914	5.18789	0.164171	0.206275	lidar	0.412523	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.11676	1.06368	5.26185	0.171532	0.198535	radar	6.86672	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.35728	1.08743	5.22962	0.166885	0.171413	lidar	0.637546	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.6359	1.17915	5.30372	0.207314	0.230859	radar	4.09747	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91053	1.3221	5.35701	0.27956	0.345104	lidar	2.11026	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1509	1.4495	5.23451	0.34435	0.452515	radar	4.0588	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3747	1.51134	5.18893	0.349779	0.421726	lidar	1.00106	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.5986	1.62635	5.05421	0.401825	0.502753	radar	2.72071	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8267	1.61369	4.97518	0.349176	0.359862	lidar	2.38202	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0975	1.66147	5.07817	0.326838	0.271477	radar	2.79723	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3844	1.67492	5.10115	0.283725	0.165588	lidar	2.60798	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6152	1.72711	5.02946	0.281955	0.150789	radar	0.735013	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8451	1.77877	5.00175	0.277898	0.129069	lidar	0.300397	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1024	1.87672	5.13769	0.297254	0.143637	radar	1.47668	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3513	1.8777	5.09902	0.250954	0.0440046	lidar	0.737697	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.611	1.92832	5.18495	0.238986	0.0110865	radar	0.75113	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8067	2.08922	5.15598	0.318349	0.156638	lidar	3.26874	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0758	2.20415	5.31353	0.338136	0.163939	radar	2.85257	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2781	2.35966	5.28392	0.400432	0.26364	lidar	2.24844	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4439	2.54851	5.09121	0.501623	0.458135	radar	10.0716	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6969	2.6397	5.11316	0.495202	0.403747	lidar	1.09358	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9143	2.76302	5.10134	0.517257	0.4087	radar	0.0927917	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1431	2.90816	5.13127	0.546277	0.423334	lidar	0.308423	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.3991	3.01185	5.25391	0.520458	0.303588	radar	1.70522	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6129	3.05198	5.14087	0.481135	0.207853	lidar	2.61633	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8424	3.22045	5.2578	0.514942	0.235483	radar	3.37216	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0495	3.42327	5.30701	0.577203	0.326753	lidar	0.622066	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2529	3.61345	5.27383	0.636078	0.426603	radar	2.28858	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4683	3.792	5.30527	0.66762	0.444347	lidar	0.246729	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6798	3.927	5.27621	0.669237	0.407059	radar	1.25796	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9084	4.04545	5.24662	0.655248	0.34694	lidar	0.468731	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.099	4.21635	5.16025	0.697933	0.426115	radar	1.50349	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2952	4.40651	5.19226	0.731383	0.447156	lidar	0.164984	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5077	4.56967	5.22889	0.733172	0.396173	radar	0.788333	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6876	4.72424	5.18517	0.744911	0.382607	lidar	0.517494	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8311	4.93059	5.04329	0.825826	0.561062	radar	3.1466	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9891	5.15628	5.09001	0.877279	0.601347	lidar	0.225644	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1624	5.3209	5.06276	0.882035	0.551327	radar	1.78336	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3212	5.48824	5.017	0.894423	0.526529	lidar	0.236498	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4802	5.6498	4.95473	0.90412	0.505163	radar	2.99964	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6802	5.74596	4.83458	0.862888	0.394786	lidar	1.91766	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8244	5.93859	4.7969	0.900935	0.45046	radar	0.527361	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	17.9968	6.12939	4.82279	0.913325	0.432927	lidar	0.975023	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1494	6.33523	4.87461	0.931778	0.413062	radar	0.879395	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2641	6.58894	4.94799	0.990592	0.477698	lidar	0.575863	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3962	6.8049	4.96018	1.0188	0.486349	radar	0.198472	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5519	6.91849	4.80897	0.987668	0.395947	lidar	1.80055	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7072	7.11832	4.87303	0.980092	0.314705	radar	0.762705	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9161	7.23924	4.78235	0.927628	0.202148	lidar	3.42187	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0034	7.43256	4.64949	0.986276	0.340089	radar	3.97839	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0799	7.72969	4.79246	1.0705	0.454368	lidar	1.83326	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2068	7.92774	4.80125	1.07198	0.399213	radar	0.326218	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2807	8.1544	4.80447	1.11536	0.437308	lidar	1.245	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3846	8.35833	4.81727	1.11737	0.371802	radar	2.18121	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.485	8.49382	4.66471	1.10626	0.325587	lidar	3.07865	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5786	8.69486	4.62026	1.13241	0.362655	radar	0.472092	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7457	8.86528	4.58394	1.10204	0.28449	lidar	3.77186	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.819	9.08328	4.54496	1.15167	0.382067	radar	1.0849	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9446	9.32388	4.62309	1.16495	0.372519	lidar	3.3673	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9857	9.54914	4.56345	1.23769	0.520055	radar	2.10136	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0634	9.80373	4.63925	1.27343	0.535222	lidar	1.09038	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1272	10.056	4.73659	1.28922	0.468659	radar	7.61569	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1648	10.348	4.85511	1.34422	0.515898	lidar	0.99124	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1747	10.5939	4.83749	1.41015	0.617721	radar	2.14561	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.227	10.8735	4.9218	1.44202	0.616767	lidar	2.12632	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2558	11.1391	4.99085	1.45783	0.545222	radar	4.98219	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.2921	11.3711	4.95887	1.4762	0.53322	lidar	0.0783564	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2271	11.6318	4.93525	1.58758	0.764501	radar	8.39602	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3025	11.8574	4.88233	1.58172	0.70058	lidar	5.73039	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3373	12.0907	4.9027	1.54345	0.456987	radar	4.66621	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3216	12.3855	5.01101	1.58098	0.474903	lidar	0.793951	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2663	12.6268	4.96388	1.662	0.65237	radar	2.54784	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.2977	12.853	4.904	1.66538	0.610744	lidar	2.33863	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2892	13.0816	4.86874	1.68345	0.5865	radar	2.19123	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2582	13.2838	4.78828	1.71042	0.584783	lidar	0.966851	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2218	13.5187	4.79831	1.72461	0.522956	radar	1.34381	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2021	13.7798	4.84038	1.74204	0.50944	lidar	1.43614	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.147	14.0047	4.80946	1.78425	0.56654	radar	0.786248	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0897	14.2636	4.86271	1.81407	0.567909	lidar	0.362955	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.018	14.4931	4.86135	1.84214	0.554163	radar	1.32917	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9043	14.7554	4.95082	1.88975	0.580998	lidar	0.960041	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8407	14.971	4.91145	1.89208	0.490111	radar	3.3296	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8227	15.1785	4.81644	1.89045	0.456035	lidar	2.29882	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6894	15.3824	4.76131	2.01096	0.796796	radar	7.03144	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6685	15.5526	4.60383	2.01689	0.751396	lidar	3.57909	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5867	15.7496	4.57144	2.02727	0.661878	radar	1.57591	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4753	15.9686	4.60919	2.06157	0.66237	lidar	0.105029	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3811	16.1737	4.60622	2.05443	0.517389	radar	2.01809	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2728	16.3514	4.5578	2.08329	0.523121	lidar	0.419027	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1595	16.5424	4.54433	2.11448	0.543014	radar	0.237286	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0207	16.7654	4.62211	2.14416	0.544802	lidar	0.36762	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8624	16.9559	4.64778	2.23399	0.769098	radar	5.93795	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6678	17.2087	4.83744	2.27715	0.770871	lidar	2.15568	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5759	17.4126	4.76925	2.21013	0.419721	radar	6.23408	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3542	17.6193	4.89613	2.25507	0.446259	lidar	3.8345	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2128	17.8135	4.88933	2.24557	0.331892	radar	1.18275	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0927	18.0001	4.84011	2.25104	0.318489	lidar	0.869836	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9163	18.1462	4.79334	2.3227	0.505661	radar	3.12129	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7987	18.2802	4.66135	2.3408	0.496934	lidar	0.969507	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.67	18.4557	4.62715	2.34678	0.45982	radar	6.29826	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4668	18.6506	4.73626	2.37437	0.464486	lidar	0.647233	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2878	18.7867	4.70671	2.42484	0.553268	radar	1.96215	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.131	18.9199	4.64304	2.45071	0.552001	lidar	0.214245	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9646	19.0902	4.65728	2.45882	0.503517	radar	2.94741	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7432	19.2095	4.68006	2.5032	0.529399	lidar	2.85579	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5508	19.3645	4.71549	2.53214	0.553493	radar	3.24646	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3125	19.5362	4.84337	2.55842	0.547452	lidar	0.859543	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0923	19.6156	4.80489	2.6216	0.637045	radar	9.95554	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8813	19.7603	4.84563	2.64368	0.622596	lidar	0.758399	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6962	19.8859	4.78388	2.625	0.444829	radar	3.3193	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4564	20.049	4.89932	2.63642	0.425784	lidar	1.1438	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2352	20.1965	4.94956	2.64586	0.404451	radar	5.39514	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0565	20.3249	4.89486	2.65345	0.388978	lidar	1.83238	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8244	20.4046	4.89005	2.70561	0.484195	radar	2.41846	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.611	20.523	4.89441	2.72154	0.473164	lidar	0.555119	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3695	20.6119	4.93018	2.77002	0.56131	radar	1.19476	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1233	20.682	4.94162	2.80679	0.57277	lidar	0.696744	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8847	20.7557	4.95391	2.84643	0.61321	radar	0.140701	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6043	20.8176	5.02912	2.88533	0.621763	lidar	1.48026	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.358	20.8489	5.02939	2.94983	0.731227	radar	1.4144	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1151	20.879	5.0087	2.99158	0.739275	lidar	0.140127	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8866	20.941	4.96893	2.99729	0.64554	radar	2.27142	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7012	20.9717	4.84763	3.02732	0.649651	lidar	2.10865	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4467	21.0164	4.88351	3.04577	0.612622	radar	2.62118	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.198	21.0522	4.90598	3.06928	0.601146	lidar	0.190115	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9635	21.0714	4.89128	3.09874	0.606061	radar	0.906702	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7267	21.0356	4.85103	3.14883	0.636226	lidar	1.69317	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4841	21.0214	4.83855	3.17967	0.620501	radar	1.03772	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2744	21.0112	4.77532	3.2111	0.624223	lidar	0.626595	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0233	20.9717	4.78989	3.24799	0.623339	radar	4.05284	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8198	20.9303	4.71576	3.28811	0.640339	lidar	0.329129	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5667	20.9351	4.70205	3.26454	0.465821	radar	5.50349	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2607	20.9825	4.87264	3.24014	0.38508	lidar	3.53196	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0212	20.9609	4.88203	3.26605	0.41778	radar	1.05799	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84399	20.9204	4.74758	3.29854	0.438576	lidar	1.60163	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60576	20.9133	4.72115	3.28153	0.31996	radar	1.03829	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.42634	20.8641	4.60795	3.3119	0.343881	lidar	0.833861	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.21168	20.8152	4.61335	3.35201	0.424406	radar	1.75922	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.8901	20.8004	4.81719	3.34149	0.372656	lidar	2.40984	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68323	20.7138	4.78036	3.39754	0.468196	radar	4.77424	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39064	20.6365	4.90999	3.41737	0.459165	lidar	2.85328	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.15959	20.5554	4.92066	3.45621	0.507848	radar	0.179898	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.91535	20.4749	4.94477	3.48025	0.50496	lidar	0.0832895	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70104	20.387	4.94713	3.52797	0.5863	radar	3.3654	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36494	20.3342	5.16151	3.51222	0.510088	lidar	2.66615	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.12294	20.2418	5.15066	3.52751	0.4735	radar	0.262974	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.8579	20.1567	5.20402	3.538	0.451912	lidar	0.188926	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62425	20.0683	5.17496	3.54814	0.414133	radar	0.541952	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38459	19.9736	5.17916	3.56389	0.406708	lidar	0.0882098	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16468	19.8806	5.1497	3.58392	0.414017	radar	2.97716	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90318	19.7857	5.20428	3.58924	0.389557	lidar	0.258281	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.66741	19.6388	5.26774	3.64293	0.497322	radar	1.65908	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.52453	19.5046	5.099	3.69453	0.542452	lidar	2.07374	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.32918	19.3547	5.06467	3.73263	0.558388	radar	1.7783	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.12347	19.2496	5.04009	3.74551	0.536193	lidar	2.02963	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94193	19.1387	4.91571	3.74674	0.447281	radar	4.83894	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79847	18.9845	4.81744	3.79509	0.493515	lidar	0.621381	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.59157	18.833	4.88747	3.82469	0.526207	radar	1.51517	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41813	18.7011	4.84595	3.84667	0.521115	lidar	1.06928	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.24593	18.5591	4.75946	3.85397	0.451983	radar	1.22681	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.1376	18.4036	4.63682	3.90648	0.506831	lidar	1.35321	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	3.96082	18.2262	4.80562	3.96599	0.643304	radar	6.90632	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
